stft_hours,num_bin,n_side,n_sub,kernel,ms,stage1_ms,stage2_ms,us_per_bin,ratio,stage1_ratio,mm,fresnel_degenerate,chunked,block,construct_ms
8.0,1024,10,,fresnel,71.47209299728274,,,69.79696581765893,1.0,,0.0030909115511116303,False,False,1024,
8.0,4096,10,,fresnel,281.4404129749164,,,68.7110383239542,1.0,,0.0030909115511116303,False,False,4096,
8.0,16384,10,,fresnel,1122.936132014729,,,68.53858227628962,1.0,,0.0030909115511116303,False,False,16384,
8.0,1024,10,24,slowfft,537.4201079830527,49.097722047008574,488.32238593604416,524.8243242021999,7.519299987527783,0.6869495489501782,0.0021019320431653332,False,False,1024,7631.543335970491
8.0,4096,10,24,slowfft,2801.624992978759,191.59263302572072,2610.0323599530384,683.9904768014549,9.954593810336883,0.6807573617467529,0.0021019320431653332,False,False,4096,7631.543335970491
8.0,16384,10,24,slowfft,12023.056843027007,1220.0972670107149,10802.959576016292,733.8291530167851,10.706803797875573,1.0865241862167736,0.0021019320431653332,False,True,4096,7631.543335970491
8.0,1024,10,32,slowfft,549.9542509787716,57.304513989947736,492.64973698882386,537.0646982214566,7.694671135483327,0.8017746729779742,0.0015703434537729377,False,False,1024,7631.543335970491
8.0,4096,10,32,slowfft,3389.9200150044635,333.8436420308426,3056.076372973621,827.6171911631991,12.044894260820293,1.1861965326941042,0.0015703434537729377,False,False,4096,7631.543335970491
8.0,16384,10,32,slowfft,12769.253902020864,1679.4603089801967,11089.793593040667,779.3734071057656,11.371309140361133,1.495597355093538,0.0015703434537729377,False,True,4096,7631.543335970491
24.0,1024,10,,fresnel,33.44245802145451,,,32.65865041157667,1.0,,0.0066939581782989865,True,False,1024,
24.0,4096,10,,fresnel,103.83851500228047,,,25.35119995172863,1.0,,0.0066939581782989865,True,False,4096,
24.0,16384,10,,fresnel,413.7656460516155,,,25.254250857642546,1.0,,0.0066939581782989865,True,False,16384,
24.0,1024,10,24,slowfft,458.5930710309185,32.13128796778619,426.4617830631323,447.84479592863136,13.7128996539882,0.9607932511172725,0.0011498601276156428,True,False,1024,7445.921197999269
24.0,4096,10,24,slowfft,1806.9877859670669,57.21863202052191,1749.769153946545,441.15912743336594,17.401903194853876,0.5510347679689496,0.0011498601276156428,True,False,4096,7445.921197999269
24.0,16384,10,24,slowfft,8015.327442029957,375.95964601496235,7639.367796014994,489.2167628192112,19.37166006534549,0.9086294369834247,0.0011498601276156428,True,True,8192,7445.921197999269
24.0,1024,10,32,slowfft,471.97421500459313,35.56571796070784,436.4084970438853,460.912319340423,14.11302406963642,1.063489948552561,0.0008645116943701847,True,False,1024,7445.921197999269
24.0,4096,10,32,slowfft,1817.1836999827065,69.56907402491197,1747.6146259577945,443.64836425359044,17.500093293348794,0.6699736992905196,0.0008645116943701847,True,False,4096,7445.921197999269
24.0,16384,10,32,slowfft,7854.802104993723,524.491133983247,7330.310971010476,479.4190737911208,18.983698090812187,1.2676043528220295,0.0008645116943701847,True,True,8192,7445.921197999269
96.0,1024,10,,fresnel,23.31467904150486,,,22.76824125146959,1.0,,0.028983310742633495,True,False,1024,
96.0,4096,10,,fresnel,71.56027504242957,,,17.470770274030656,1.0,,0.028983310742633495,True,False,4096,
96.0,16384,10,,fresnel,287.58819901850075,,,17.55299066275029,1.0,,0.028983310742633495,True,False,16384,
96.0,1024,10,24,slowfft,442.6936420495622,13.941430021077394,428.7522120284848,432.3180098140256,18.98776480094269,0.5979679152459624,0.0015990226131180618,True,False,1024,7423.705771041568
96.0,4096,10,24,slowfft,1722.6835019537248,31.735551019664854,1690.94795093406,420.5770268441711,24.073181677017175,0.4434800034075916,0.0015990226131180618,True,False,4096,7423.705771041568
96.0,16384,10,24,slowfft,6874.116521968972,56.74248602008447,6817.3740359488875,419.56277599908276,23.90263767925594,0.19730463980698384,0.0015990226131180618,True,False,16384,7423.705771041568
96.0,1024,10,32,slowfft,448.95213103154674,14.339549990836531,434.6125810407102,438.42981546049486,19.256200363398563,0.6150438513568736,0.0011866959301896074,True,False,1024,7423.705771041568
96.0,4096,10,32,slowfft,1707.3077309760265,35.66464001778513,1671.6430909582414,416.82317650781897,23.85831706157821,0.49838601090673323,0.0011866959301896074,True,False,4096,7423.705771041568
96.0,16384,10,32,slowfft,6989.654572040308,70.61200396856293,6919.042568071745,426.6146589380071,24.304385909766275,0.24553164632468252,0.0011866959301896074,True,False,16384,7423.705771041568
